index,content,clean_emoji,language,compound,neg,neu,pos,vader_rating,keyword,extracted_phrases
0,"The most dissapointing things about this is that they DONT MENTION THE T&C about making an appointment for a LAB TEST such as t&c for cancelling your appointment (when they havent confirmed it), the refund procedure, etc. The Cust. Service wasnt helping at all when I asked why was the procedure wasnt mentioned at all on the apps. It so tricky when youve got so ill&need to go to the hospital asap, but your BOOKING that you've paid cant be canceled, but they dont mention it on the apps. BE CAREFUL","the most dissapointing things about this is that they do not mention the t&c about making an appointment for a lab test such as t&c for cancelling your appointment (when they have not confirmed it), the refund procedure, etc. the cust. service was not helping at all when i asked why was the procedure was not mentioned at all on the application. it so tricky when you have got so ill&need to go to the hospital as soon as possible, but your booking that you have paid cannot be canceled, but they do not mention it on the application. be careful",en,0.1524,0.047,0.922,0.032,1,"[('appointment confirmed refund', 0.6406), ('procedure mentioned application', 0.2672), ('service helping', 0.206), ('lab test', 0.1917), ('dissapointing things mention', 0.128)]",appointment confirmed refund
0,"The most dissapointing things about this is that they DONT MENTION THE T&C about making an appointment for a LAB TEST such as t&c for cancelling your appointment (when they havent confirmed it), the refund procedure, etc. The Cust. Service wasnt helping at all when I asked why was the procedure wasnt mentioned at all on the apps. It so tricky when youve got so ill&need to go to the hospital asap, but your BOOKING that you've paid cant be canceled, but they dont mention it on the apps. BE CAREFUL","the most dissapointing things about this is that they do not mention the t&c about making an appointment for a lab test such as t&c for cancelling your appointment (when they have not confirmed it), the refund procedure, etc. the cust. service was not helping at all when i asked why was the procedure was not mentioned at all on the application. it so tricky when you have got so ill&need to go to the hospital as soon as possible, but your booking that you have paid cannot be canceled, but they do not mention it on the application. be careful",en,0.1524,0.047,0.922,0.032,1,"[('appointment confirmed refund', 0.6406), ('procedure mentioned application', 0.2672), ('service helping', 0.206), ('lab test', 0.1917), ('dissapointing things mention', 0.128)]",procedure mentioned application
0,"The most dissapointing things about this is that they DONT MENTION THE T&C about making an appointment for a LAB TEST such as t&c for cancelling your appointment (when they havent confirmed it), the refund procedure, etc. The Cust. Service wasnt helping at all when I asked why was the procedure wasnt mentioned at all on the apps. It so tricky when youve got so ill&need to go to the hospital asap, but your BOOKING that you've paid cant be canceled, but they dont mention it on the apps. BE CAREFUL","the most dissapointing things about this is that they do not mention the t&c about making an appointment for a lab test such as t&c for cancelling your appointment (when they have not confirmed it), the refund procedure, etc. the cust. service was not helping at all when i asked why was the procedure was not mentioned at all on the application. it so tricky when you have got so ill&need to go to the hospital as soon as possible, but your booking that you have paid cannot be canceled, but they do not mention it on the application. be careful",en,0.1524,0.047,0.922,0.032,1,"[('appointment confirmed refund', 0.6406), ('procedure mentioned application', 0.2672), ('service helping', 0.206), ('lab test', 0.1917), ('dissapointing things mention', 0.128)]",service helping
0,"The most dissapointing things about this is that they DONT MENTION THE T&C about making an appointment for a LAB TEST such as t&c for cancelling your appointment (when they havent confirmed it), the refund procedure, etc. The Cust. Service wasnt helping at all when I asked why was the procedure wasnt mentioned at all on the apps. It so tricky when youve got so ill&need to go to the hospital asap, but your BOOKING that you've paid cant be canceled, but they dont mention it on the apps. BE CAREFUL","the most dissapointing things about this is that they do not mention the t&c about making an appointment for a lab test such as t&c for cancelling your appointment (when they have not confirmed it), the refund procedure, etc. the cust. service was not helping at all when i asked why was the procedure was not mentioned at all on the application. it so tricky when you have got so ill&need to go to the hospital as soon as possible, but your booking that you have paid cannot be canceled, but they do not mention it on the application. be careful",en,0.1524,0.047,0.922,0.032,1,"[('appointment confirmed refund', 0.6406), ('procedure mentioned application', 0.2672), ('service helping', 0.206), ('lab test', 0.1917), ('dissapointing things mention', 0.128)]",lab test
0,"The most dissapointing things about this is that they DONT MENTION THE T&C about making an appointment for a LAB TEST such as t&c for cancelling your appointment (when they havent confirmed it), the refund procedure, etc. The Cust. Service wasnt helping at all when I asked why was the procedure wasnt mentioned at all on the apps. It so tricky when youve got so ill&need to go to the hospital asap, but your BOOKING that you've paid cant be canceled, but they dont mention it on the apps. BE CAREFUL","the most dissapointing things about this is that they do not mention the t&c about making an appointment for a lab test such as t&c for cancelling your appointment (when they have not confirmed it), the refund procedure, etc. the cust. service was not helping at all when i asked why was the procedure was not mentioned at all on the application. it so tricky when you have got so ill&need to go to the hospital as soon as possible, but your booking that you have paid cannot be canceled, but they do not mention it on the application. be careful",en,0.1524,0.047,0.922,0.032,1,"[('appointment confirmed refund', 0.6406), ('procedure mentioned application', 0.2672), ('service helping', 0.206), ('lab test', 0.1917), ('dissapointing things mention', 0.128)]",dissapointing things mention
1,This apps only indonesia can use ?,this application only indonesia can use ?,en,0.0,0.0,1.0,0.0,0,"[('application indonesia use', 0.8606), ('indonesia use', 0.801), ('indonesia', 0.6064), ('application', 0.4085), ('use', 0.1904)]",application indonesia use
1,This apps only indonesia can use ?,this application only indonesia can use ?,en,0.0,0.0,1.0,0.0,0,"[('application indonesia use', 0.8606), ('indonesia use', 0.801), ('indonesia', 0.6064), ('application', 0.4085), ('use', 0.1904)]",indonesia use
1,This apps only indonesia can use ?,this application only indonesia can use ?,en,0.0,0.0,1.0,0.0,0,"[('application indonesia use', 0.8606), ('indonesia use', 0.801), ('indonesia', 0.6064), ('application', 0.4085), ('use', 0.1904)]",indonesia
1,This apps only indonesia can use ?,this application only indonesia can use ?,en,0.0,0.0,1.0,0.0,0,"[('application indonesia use', 0.8606), ('indonesia use', 0.801), ('indonesia', 0.6064), ('application', 0.4085), ('use', 0.1904)]",application
1,This apps only indonesia can use ?,this application only indonesia can use ?,en,0.0,0.0,1.0,0.0,0,"[('application indonesia use', 0.8606), ('indonesia use', 0.801), ('indonesia', 0.6064), ('application', 0.4085), ('use', 0.1904)]",use
